DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
    28        0        609.0209          602.5421  KNOCKED OUT
    28        1        655.5723          647.7947  KNOCKED OUT
    28        2        705.6819          696.0770  KNOCKED OUT
    28        3        759.6217          747.4321  KNOCKED OUT
    28        4        817.6845          801.8442  KNOCKED OUT
    28        5        880.1853          859.2231  KNOCKED OUT
    28        6        947.4636          919.3890  KNOCKED OUT
    28        7       1019.8843          982.0595  KNOCKED OUT
    28        8       1097.8406         1075.8589  alive
    28        9       1181.7556         1170.9366  alive
    28       10       1272.0848         1265.0362  alive
    28       11       1369.3184         1355.9636  alive
    28       12       1473.9842         1441.7445  alive
    28       13       1586.6502         1520.7539  alive
    28       14       1707.9281         1591.8050  alive
    28       15       1838.4760         1654.1893  alive
    28       16       1979.0025         1707.6708  alive
    28       17       2130.2704         1752.4385  alive
    28       18       2293.1007         1789.0283  alive
    28       19       2468.3771         1818.2286  alive
    28       20       2657.0510         1840.9818  alive
    28       21       2860.1465         1858.2924  alive
    28       22       3078.7658         1871.1507  alive
    28       23       3314.0957         1880.4752  alive
    28       24       3567.4133         1887.0765  alive
    28       25       3840.0936         1891.6384  alive
    28       26       4133.6166         1894.7156  alive
    28       27       4449.5755         1896.7414  alive
    28       28       4789.6851         1898.0429  alive
    29        0        586.9999          581.0838  KNOCKED OUT
    29        1        631.8681          624.8688  KNOCKED OUT
    29        2        680.1658          671.6507  KNOCKED OUT
    29        3        732.1552          721.4979  KNOCKED OUT
    29        4        788.1186          774.4274  KNOCKED OUT
    29        5        848.3595          830.3898  KNOCKED OUT
    29        6        913.2051          889.2531  KNOCKED OUT
    29        7        983.0072          950.7886  KNOCKED OUT
    29        8       1058.1448         1029.2143  alive
    29        9       1139.0256         1124.2501  alive
    29       10       1226.0886         1219.4280  alive
    29       11       1319.8064         1312.4806  alive
    29       12       1420.6877         1401.2876  alive
    29       13       1529.2800         1484.0230  alive
    29       14       1646.1727         1559.2666  alive
    29       15       1772.0002         1626.0692  alive
    29       16       1907.4456         1683.9688  alive
    29       17       2053.2439         1732.9607  alive
    29       18       2210.1865         1773.4318  alive
    29       19       2379.1253         1806.0710  alive
    29       20       2560.9771         1831.7692  alive
    29       21       2756.7290         1851.5218  alive
    29       22       2967.4435         1866.3434  alive
    29       23       3194.2643         1877.1999  alive
    29       24       3438.4224         1884.9621  alive
    29       25       3701.2431         1890.3791  alive
    29       26       3984.1529         1894.0686  alive
    29       27       4288.6873         1896.5209  alive
    29       28       4616.4992         1898.1114  alive
    29       29       4969.3679         1899.1178  alive
    30        0        565.7751          560.3339  KNOCKED OUT
    30        1        609.0209          602.6724  KNOCKED OUT
    30        2        655.5723          647.9644  KNOCKED OUT
    30        3        705.6819          696.2996  KNOCKED OUT
    30        4        759.6217          747.7243  KNOCKED OUT
    30        5        817.6845          802.2260  KNOCKED OUT
    30        6        880.1853          859.7172  KNOCKED OUT
    30        7        947.4636          920.0205  KNOCKED OUT
    30        8       1019.8843          982.8542  KNOCKED OUT
    30        9       1097.8406         1077.2861  alive
    30       10       1181.7556         1172.9973  alive
    30       11       1272.0848         1267.6867  alive
    30       12       1369.3184         1359.1202  alive
    30       13       1473.9842         1445.2925  alive
    30       14       1586.6502         1524.5600  alive
    30       15       1707.9281         1595.7304  alive
    30       16       1838.4760         1658.1029  alive
    30       17       1979.0025         1711.4593  alive
    30       18       2130.2704         1756.0135  alive
    30       19       2293.1007         1792.3299  alive
    30       20       2468.3771         1821.2250  alive
    30       21       2657.0510         1843.6665  alive
    30       22       2860.1465         1860.6790  alive
    30       23       3078.7658         1873.2670  alive
    30       24       3314.0957         1882.3578  alive
    30       25       3567.4133         1888.7649  alive
    30       26       3840.0936         1893.1717  alive
    30       27       4133.6166         1896.1292  alive
    30       28       4449.5755         1898.0659  alive
    30       29       4789.6851         1899.3030  alive
    30       30       5155.7915         1900.0740  alive
    31        0        545.3177          540.2800  KNOCKED OUT
    31        1        586.9999          581.1976  KNOCKED OUT
    31        2        631.8681          625.0161  KNOCKED OUT
    31        3        680.1658          671.8435  KNOCKED OUT
    31        4        732.1552          721.7512  KNOCKED OUT
    31        5        788.1186          774.7596  KNOCKED OUT
    31        6        848.3595          830.8225  KNOCKED OUT
    31        7        913.2051          889.8105  KNOCKED OUT
    31        8        983.0072          951.4963  KNOCKED OUT
    31        9       1058.1448         1030.3233  alive
    31       10       1139.0256         1126.0037  alive
    31       11       1226.0886         1221.8042  alive
    31       12       1319.8064         1315.4136  alive
    31       13       1420.6877         1404.6751  alive
    31       14       1529.2800         1487.7375  alive
    31       15       1646.1727         1563.1686  alive
    31       16       1772.0002         1630.0209  alive
    31       17       1907.4456         1687.8458  alive
    31       18       2053.2439         1736.6609  alive
    31       19       2210.1865         1776.8808  alive
    31       20       2379.1253         1809.2236  alive
    31       21       2560.9771         1834.6075  alive
    31       22       2756.7290         1854.0508  alive
    31       23       2967.4435         1868.5855  alive
    31       24       3194.2643         1879.1887  alive
    31       25       3438.4224         1886.7369  alive
    31       26       3701.2431         1891.9801  alive
    31       27       3984.1529         1895.5335  alive
    31       28       4288.6873         1897.8829  alive
    31       29       4616.4992         1899.3982  alive
    31       30       4969.3679         1900.3515  alive
    31       31       5349.2086         1900.9363  alive
    32        0        525.6001          520.9081  KNOCKED OUT
    32        1        565.7751          560.4338  KNOCKED OUT
    32        2        609.0209          602.8006  KNOCKED OUT
    32        3        655.5723          648.1313  KNOCKED OUT
    32        4        705.6819          696.5189  KNOCKED OUT
    32        5        759.6217          748.0126  KNOCKED OUT
    32        6        817.6845          802.6034  KNOCKED OUT
    32        7        880.1853          860.2068  KNOCKED OUT
    32        8        947.4636          920.6475  KNOCKED OUT
    32        9       1019.8843          983.6450  KNOCKED OUT
    32       10       1097.8406         1078.7214  alive
    32       11       1181.7556         1175.0778  alive
    32       12       1272.0848         1270.3670  alive
    32       13       1369.3184         1362.3136  alive
    32       14       1473.9842         1448.8807  alive
    32       15       1586.6502         1528.4060  alive
    32       16       1707.9281         1599.6922  alive
    32       17       1838.4760         1662.0466  alive
    32       18       1979.0025         1715.2702  alive
    32       19       2130.2704         1759.6026  alive
    32       20       2293.1007         1795.6376  alive
    32       21       2468.3771         1824.2208  alive
    32       22       2657.0510         1846.3453  alive
    32       23       2860.1465         1863.0562  alive
    32       24       3078.7658         1875.3722  alive
    32       25       3314.0957         1884.2287  alive
    32       26       3567.4133         1890.4424  alive
    32       27       3840.0936         1894.6953  alive
    32       28       4133.6166         1897.5349  alive
    32       29       4449.5755         1899.3841  alive
    32       30       4789.6851         1900.5585  alive
    32       31       5155.7915         1901.2859  alive
    32       32       5549.8817         1901.7252  alive
    33        0        506.5954          502.2023  KNOCKED OUT
    33        1        545.3177          540.3682  KNOCKED OUT
    33        2        586.9999          581.3095  KNOCKED OUT
    33        3        631.8681          625.1609  KNOCKED OUT
    33        4        680.1658          672.0332  KNOCKED OUT
    33        5        732.1552          722.0008  KNOCKED OUT
    33        6        788.1186          775.0877  KNOCKED OUT
    33        7        848.3595          831.2506  KNOCKED OUT
    33        8        913.2051          890.3631  KNOCKED OUT
    33        9        983.0072          952.1997  KNOCKED OUT
    33       10       1058.1448         1031.4344  alive
    33       11       1139.0256         1127.7717  alive
    33       12       1226.0886         1224.2059  alive
    33       13       1319.8064         1318.3806  alive
    33       14       1420.6877         1408.1020  alive
    33       15       1529.2800         1491.4929  alive
    33       16       1646.1727         1567.1096  alive
    33       17       1772.0002         1634.0064  alive
    33       18       1907.4456         1691.7493  alive
    33       19       2053.2439         1740.3793  alive
    33       20       2210.1865         1780.3397  alive
    33       21       2379.1253         1812.3786  alive
    33       22       2560.9771         1837.4421  alive
    33       23       2756.7290         1856.5719  alive
    33       24       2967.4435         1870.8170  alive
    33       25       3194.2643         1881.1659  alive
    33       26       3438.4224         1888.5003  alive
    33       27       3701.2431         1893.5706  alive
    33       28       3984.1529         1896.9895  alive
    33       29       4288.6873         1899.2378  alive
    33       30       4616.4992         1900.6796  alive
    33       31       4969.3679         1901.5812  alive
    33       32       5349.2086         1902.1308  alive
    33       33       5758.0830         1902.4574  alive
    34        0        488.2779          484.1460  KNOCKED OUT
    34        1        525.6001          520.9864  KNOCKED OUT
